ID	howmany_MW	howmany_QW	howmany_SW	freq_MW	freq_QW	freq_SW	type_personality	classy_MW	classy_QW	classy_SW	status_MW	status_QW	status_SW	soph_MW	soph_QW	soph_SW	evergr_MW	evergr_QW	evergr_SW	desire_MW	desire_QW	desire_SW	fun_MW	fun_QW	fun_SW	superf_MW	superf_QW	superf_SW	gratif_MW	gratif_QW	gratif_SW	exc_MW	exc_QW	exc_SW	trendy_MW	trendy_QW	trendy_SW	sporty_MW	sporty_QW	sporty_SW	imp_design_MW	imp_design_QW	imp_design_SW	imp_reliab_MW	imp_reliab_QW	imp_reliab_SW	imp_funct_MW	imp_funct_QW	imp_funct_SW	imp_read_MW	imp_read_QW	imp_read_SW	imp_imperm_MW	imp_imperm_QW	imp_imperm_SW	imp_brand_MW	imp_brand_QW	imp_brand_SW	imp_mater_MW	imp_mater_QW	imp_mater_SW	imp_price_MW	imp_price_QW	imp_price_SW	type_job	type_freetime	type_sport	type_holidays	type_formal	sport	outdoor	reading	TV	internet	social	content_digita	relax	museums	cooking	videogames	hobbies	convivials	MW_gift	MW_bought	MW_inherit	QW_gift	QW_bought	QW_inherit	SW_gift	SW_bought	SW_inherit	large_city	car_moto	foot	bike	public transport	Year_born	Job	Gender	Education	Income	willtobuy_MW	willtobuy_QW	willtobuy_SW
1	2	2	2																																																																																																					
2	1	1	0	80	20	0	0	5	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	5			1	1		7	7		7	7		1	1		5	5		4	4		0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1		1			1					0				1	1963	3	1	3	2	1	0	0
3	2	1	0		100		1	7	5	2	7	2	7	3	6	7	7	2	1	1	6	5	1	4	5	7	1	7	2	4	5	1	3	4	2	1	6	1	7	1	7	5	2	2	7	4	2	7	7	2	6	7	1	7	4	6	3	3	7	3	2	5	5	5	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1		1		1					0	1		1		1954	3	1	3	2	0	1	1
4	2	0	0	100	0	0	0	7	1	4	1	1	5	1	1	7	7	1	1	1	1	5	1	1	7	1	4	7	1	1	7	1	1	7	1	1	7	5	5	5	7	1	7	7	7	7	1	1	7	7	7	7	7	7	7	1	1	1	7	7	7	4	4	4	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	2									0	1	1			1967	3	0	3	1	0	0	0
5	2	0	0	100	0	0	0																																																																																																	
6	0	0	1																																																																																																					
7	1	2	2	0	30	70	1		5		4				3			4				6			6		1			3				1			7			7	2	3	6	6	6	6	5	6	6	3	5	7	2	3	7	3	5	7	5	5	7	3	4	4	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	1			8		10		10			0		1	1		1960	5	0	1	2	0	1	1
8	2	3	0	30	70		0	7	1		7	1	6	3	3	7	5	4	3	7	1		3	5	6	1	3	7	7	1	3	7	3	4	4	2	6	5	7		7	7	7	6	7	7	3	7	7	7	7	7	7	7	7	6	5	7	7	7	5	5	4	7	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1		3						0	1				1960	3	1	1	1	1	0	0
9	0	0	1	0	0	100	2																																																																																																	
10	2	2	0	20	80	0	1	6	5	7	5	6	7	6	4	7	4	4	7	5	5	7	5	3	7	6	5	7	6	5	7	6	5	7	7	6	7	6	7	7	6	6	7	7	6	7	1	6	7	5	7	7	5	7	7	5	6	7	5	5	7	6	5	6	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	0	1	1	6				6					0	1			1	1992	3	0	1	0	1	1	0
